ensembl_gene_id	external_gene_name	ensembl_transcript_id	description	chromosome_name	start_position	end_position	strand
2039	WBGene00001184	egl-15	F58A3.2k.1	Myoblast growth factor receptor egl-15  [Source:UniProtKB/Swiss-Prot;Acc:Q10656]	X	11016410	11023421	1
2040	WBGene00001184	egl-15	F58A3.2l.1	Myoblast growth factor receptor egl-15  [Source:UniProtKB/Swiss-Prot;Acc:Q10656]	X	11016410	11023421	1
2041	WBGene00001184	egl-15	F58A3.2m.1	Myoblast growth factor receptor egl-15  [Source:UniProtKB/Swiss-Prot;Acc:Q10656]	X	11016410	11023421	1
2042	WBGene00001184	egl-15	F58A3.2n.1	Myoblast growth factor receptor egl-15  [Source:UniProtKB/Swiss-Prot;Acc:Q10656]	X	11016410	11023421	1
2043	WBGene00001184	egl-15	F58A3.2o.1	Myoblast growth factor receptor egl-15  [Source:UniProtKB/Swiss-Prot;Acc:Q10656]	X	11016410	11023421	1
2044	WBGene00001184	egl-15	F58A3.2p.1	Myoblast growth factor receptor egl-15  [Source:UniProtKB/Swiss-Prot;Acc:Q10656]	X	11016410	11023421	1
2045	WBGene00001185	egl-17	F38G1.2.1	EGL-17  [Source:UniProtKB/TrEMBL;Acc:G5EEF1]	X	489695	492273	1
2046	WBGene00001186	egl-18	F55A8.1a.1	GATA-like transcription factor ELT-5  [Source:UniProtKB/TrEMBL;Acc:G5EGF4]	IV	1902323	1917841	1
2047	WBGene00001186	egl-18	F55A8.1a.2	GATA-like transcription factor ELT-5  [Source:UniProtKB/TrEMBL;Acc:G5EGF4]	IV	1902323	1917841	1
2048	WBGene00001186	egl-18	F55A8.1b.1	GATA-like transcription factor ELT-5  [Source:UniProtKB/TrEMBL;Acc:G5EGF4]	IV	1902323	1917841	1
2049	WBGene00001187	egl-19	C48A7.1a.1	Voltage-dependent L-type calcium channel subunit alpha  [Source:UniProtKB/TrEMBL;Acc:W6RY76]	IV	7405460	7418733	1
2050	WBGene00001187	egl-19	C48A7.1b.1	Voltage-dependent L-type calcium channel subunit alpha  [Source:UniProtKB/TrEMBL;Acc:W6RY76]	IV	7405460	7418733	1
2051	WBGene00001187	egl-19	C48A7.1c.1	Voltage-dependent L-type calcium channel subunit alpha  [Source:UniProtKB/TrEMBL;Acc:W6RY76]	IV	7405460	7418733	1
2052	WBGene00001187	egl-19	C48A7.1c.2	Voltage-dependent L-type calcium channel subunit alpha  [Source:UniProtKB/TrEMBL;Acc:W6RY76]	IV	7405460	7418733	1
2053	WBGene00001188	egl-20	W08D2.1.1	Wnt homolog  [Source:UniProtKB/TrEMBL;Acc:G5EG05]	IV	9812444	9815526	-1
2054	WBGene00001189	egl-21	F01D4.4.1	Carboxypeptidase E  [Source:UniProtKB/Swiss-Prot;Acc:O17754]	IV	10478450	10481844	-1
2055	WBGene00001189	egl-21	F01D4.4.2	Carboxypeptidase E  [Source:UniProtKB/Swiss-Prot;Acc:O17754]	IV	10478450	10481844	-1
2056	WBGene00001189	egl-21	F01D4.4.3	Carboxypeptidase E  [Source:UniProtKB/Swiss-Prot;Acc:O17754]	IV	10478450	10481844	-1
2057	WBGene00001190	egl-23	Y37A1B.11a.1		IV	13989094	14012026	1
2058	WBGene00001190	egl-23	Y37A1B.11b.1		IV	13989094	14012026	1
2059	WBGene00001190	egl-23	Y37A1B.11c.1		IV	13989094	14012026	1
2060	WBGene00001193	egl-26	C23H3.1a.1		II	69654	71279	1
2061	WBGene00001193	egl-26	C23H3.1b.1		II	69654	71279	1
2062	WBGene00001194	egl-27	C04A2.3a.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2063	WBGene00001194	egl-27	C04A2.3b.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2064	WBGene00001194	egl-27	C04A2.3c.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2065	WBGene00001194	egl-27	C04A2.3c.2	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2066	WBGene00001194	egl-27	C04A2.3d.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2067	WBGene00001194	egl-27	C04A2.3e.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2068	WBGene00001194	egl-27	C04A2.3f.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2069	WBGene00001194	egl-27	C04A2.3g.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2070	WBGene00001194	egl-27	C04A2.3h.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2071	WBGene00001194	egl-27	C04A2.3i.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2072	WBGene00001194	egl-27	C04A2.3j.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2073	WBGene00001194	egl-27	C04A2.3k.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2074	WBGene00001194	egl-27	C04A2.3l.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2075	WBGene00001194	egl-27	C04A2.3l.2	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2076	WBGene00001194	egl-27	C04A2.3m.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2077	WBGene00001194	egl-27	C04A2.3n.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2078	WBGene00001194	egl-27	C04A2.3o.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2079	WBGene00001194	egl-27	C04A2.3p.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2080	WBGene00001194	egl-27	C04A2.3q.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2081	WBGene00001194	egl-27	C04A2.3r.1	Egg-laying defective protein 27  [Source:UniProtKB/Swiss-Prot;Acc:Q09228]	II	6835021	6847906	1
2082	WBGene00001196	egl-30	M01D7.7a.1	EGL-30; Heterotrimeric G protein alpha subunit  [Source:UniProtKB/TrEMBL;Acc:G5EGU1]	I	1835631	1841936	1
2083	WBGene00001196	egl-30	M01D7.7b.1	EGL-30; Heterotrimeric G protein alpha subunit  [Source:UniProtKB/TrEMBL;Acc:G5EGU1]	I	1835631	1841936	1
2084	WBGene00001196	egl-30	M01D7.7c.1	EGL-30; Heterotrimeric G protein alpha subunit  [Source:UniProtKB/TrEMBL;Acc:G5EGU1]	I	1835631	1841936	1
2085	WBGene00001202	egl-36	R07A4.1.1	Potassium voltage-gated channel protein egl-36  [Source:UniProtKB/Swiss-Prot;Acc:G5EFC3]	X	10734326	10744355	1
2086	WBGene00001204	egl-38	C04G2.7.1	PAX protein  [Source:UniProtKB/TrEMBL;Acc:G5ED14]	IV	10106917	10110412	-1
2087	WBGene00001207	egl-43	R53.3a.1		II	9955185	9962344	1
2088	WBGene00001207	egl-43	R53.3b.1		II	9955185	9962344	1
2089	WBGene00001207	egl-43	R53.3c		II	9955185	9962344	1
2090	WBGene00001208	egl-44	F28B12.2a.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2091	WBGene00001208	egl-44	F28B12.2b.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2092	WBGene00001208	egl-44	F28B12.2c.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2093	WBGene00001208	egl-44	F28B12.2d.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2094	WBGene00001208	egl-44	F28B12.2f.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2095	WBGene00001208	egl-44	F28B12.2g.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2096	WBGene00001208	egl-44	F28B12.2h.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2097	WBGene00001208	egl-44	F28B12.2i.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2098	WBGene00001208	egl-44	F28B12.2j.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2099	WBGene00001208	egl-44	F28B12.2k.1	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	II	5928830	5940815	1
2100	WBGene00001209	egl-45	C27D11.1.1	Eukaryotic translation initiation factor 3 subunit A  [Source:UniProtKB/Swiss-Prot;Acc:P34339]	III	7824377	7828626	-1
2101	WBGene00001210	egl-46	K11G9.4.1	C2H2 zinc finger protein EGL-46  [Source:UniProtKB/TrEMBL;Acc:G5EFY4]	V	6679317	6681573	-1
2102	WBGene00001211	egl-47	C50H2.2a.1	Egg laying defective EGL-47A  [Source:UniProtKB/TrEMBL;Acc:G5EDX4]	V	9899587	9907644	1
2103	WBGene00001211	egl-47	C50H2.2b.1	Egg laying defective EGL-47A  [Source:UniProtKB/TrEMBL;Acc:G5EDX4]	V	9899587	9907644	1
2104	WBGene00001214	ego-1	F26A3.3.1	Enhancer of Glp-One (Glp-1); RNA-directed RNA polymerase related EGO-1  [Source:UniProtKB/TrEMBL;Acc:G5EBQ3]	I	7650418	7656336	-1
2105	WBGene00001215	ego-2	Y53H1C.2a.1	Enhancer of Glp-One (Glp-1)  [Source:UniProtKB/TrEMBL;Acc:H8ESG1]	I	11400612	11416427	-1
2106	WBGene00001215	ego-2	Y53H1C.2b.1	Enhancer of Glp-One (Glp-1)  [Source:UniProtKB/TrEMBL;Acc:H8ESG1]	I	11400612	11416427	-1
2107	WBGene00001215	ego-2	Y53H1C.2c.1	Enhancer of Glp-One (Glp-1)  [Source:UniProtKB/TrEMBL;Acc:H8ESG1]	I	11400612	11416427	-1
2108	WBGene00001223	ehn-3	ZK616.10a.1	Enhancer of HAND mutation hnd-1  [Source:UniProtKB/TrEMBL;Acc:Q9N4M6]	IV	5416906	5419195	-1
2109	WBGene00001223	ehn-3	ZK616.10b.1	Enhancer of HAND mutation hnd-1  [Source:UniProtKB/TrEMBL;Acc:Q9N4M6]	IV	5416906	5419195	-1
2110	WBGene00001223	ehn-3	ZK616.10c.1	Enhancer of HAND mutation hnd-1  [Source:UniProtKB/TrEMBL;Acc:Q9N4M6]	IV	5416906	5419195	-1
2111	WBGene00001224	ehs-1	ZK1248.3a.1	EHS-1; Eps15 (Endocytosis protein) Homologous Sequence  [Source:UniProtKB/TrEMBL;Acc:Q9BIF4]	II	5820712	5823862	1
2112	WBGene00001224	ehs-1	ZK1248.3b	EHS-1; Eps15 (Endocytosis protein) Homologous Sequence  [Source:UniProtKB/TrEMBL;Acc:Q9BIF4]	II	5820712	5823862	1
2113	WBGene00001225	eif-3.B	Y54E2A.11a.1	Eukaryotic translation initiation factor 3 subunit B  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWI6]	II	14795404	14798224	1
2114	WBGene00001225	eif-3.B	Y54E2A.11a.2	Eukaryotic translation initiation factor 3 subunit B  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWI6]	II	14795404	14798224	1
2115	WBGene00001225	eif-3.B	Y54E2A.11a.3	Eukaryotic translation initiation factor 3 subunit B  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWI6]	II	14795404	14798224	1
2116	WBGene00001225	eif-3.B	Y54E2A.11b.1	Eukaryotic translation initiation factor 3 subunit B  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWI6]	II	14795404	14798224	1
2117	WBGene00001226	eif-3.C	T23D8.4.1	Eukaryotic translation initiation factor 3 subunit C  [Source:UniProtKB/Swiss-Prot;Acc:O02328]	I	9976393	9979662	-1
2118	WBGene00001226	eif-3.C	T23D8.4.2	Eukaryotic translation initiation factor 3 subunit C  [Source:UniProtKB/Swiss-Prot;Acc:O02328]	I	9976393	9979662	-1
2119	WBGene00001226	eif-3.C	T23D8.4.3	Eukaryotic translation initiation factor 3 subunit C  [Source:UniProtKB/Swiss-Prot;Acc:O02328]	I	9976393	9979662	-1
2120	WBGene00001227	eif-3.D	R08D7.3.1	Eukaryotic translation initiation factor 3 subunit D  [Source:UniProtKB/Swiss-Prot;Acc:P30642]	III	8969638	8971578	-1
2121	WBGene00001228	eif-3.E	B0511.10.1	Eukaryotic translation initiation factor 3 subunit E  [Source:UniProtKB/Swiss-Prot;Acc:O61820]	I	10640465	10642281	-1
2122	WBGene00001229	eif-3.F	D2013.7.1	Eukaryotic translation initiation factor 3 subunit F  [Source:UniProtKB/Swiss-Prot;Acc:Q18967]	II	9331643	9333925	1
2123	WBGene00001230	eif-3.G	F22B5.2a.1	Eukaryotic translation initiation factor 3 subunit G  [Source:UniProtKB/Swiss-Prot;Acc:Q19706]	II	8442765	8444239	1
2124	WBGene00001230	eif-3.G	F22B5.2b.1	Eukaryotic translation initiation factor 3 subunit G  [Source:UniProtKB/Swiss-Prot;Acc:Q19706]	II	8442765	8444239	1
2125	WBGene00001230	eif-3.G	F22B5.2b.2	Eukaryotic translation initiation factor 3 subunit G  [Source:UniProtKB/Swiss-Prot;Acc:Q19706]	II	8442765	8444239	1
2126	WBGene00001231	eif-3.H	C41D11.2.1	Eukaryotic translation initiation factor 3 subunit H  [Source:UniProtKB/Swiss-Prot;Acc:O01974]	I	4444719	4446598	1
2127	WBGene00001232	eif-3.I	Y74C10AR.1a.1	Eukaryotic translation initiation factor 3 subunit I  [Source:UniProtKB/Swiss-Prot;Acc:Q965S8]	I	2485867	2489780	1
2128	WBGene00001232	eif-3.I	Y74C10AR.1b.1	Eukaryotic translation initiation factor 3 subunit I  [Source:UniProtKB/Swiss-Prot;Acc:Q965S8]	I	2485867	2489780	1
2129	WBGene00001233	eif-3.K	T16G1.11.1	Eukaryotic translation initiation factor 3 subunit K  [Source:UniProtKB/Swiss-Prot;Acc:Q9XUP3]	V	12954002	12955229	1
2130	WBGene00001234	eif-6	C47B2.5.1	Eukaryotic translation initiation factor 6  [Source:UniProtKB/Swiss-Prot;Acc:O62106]	I	12968921	12970238	1
2131	WBGene00001234	eif-6	C47B2.5.2	Eukaryotic translation initiation factor 6  [Source:UniProtKB/Swiss-Prot;Acc:O62106]	I	12968921	12970238	1
2132	WBGene00001235	elb-1	Y41C4A.10.1	ELongin B; RNA polymerase II transcription factor SIII p18 subunit  [Source:UniProtKB/TrEMBL;Acc:G5ECR7]	III	11718834	11719450	-1
2133	WBGene00001236	elc-1	Y82E9BR.15.1	ELongin C  [Source:UniProtKB/TrEMBL;Acc:Q9BKS1]	III	1415152	1417188	-1
2134	WBGene00001237	elc-2	W03H1.2.1	ELongin C  [Source:UniProtKB/TrEMBL;Acc:Q23153]	X	1777355	1778146	-1
2135	WBGene00001239	elo-1	F56H11.4a.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:K8ES54]	IV	9526359	9528350	1
2136	WBGene00001239	elo-1	F56H11.4b.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:K8ES54]	IV	9526359	9528350	1
2137	WBGene00001239	elo-1	F56H11.4b.2	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:K8ES54]	IV	9526359	9528350	1
2138	WBGene00001239	elo-1	F56H11.4b.3	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:K8ES54]	IV	9526359	9528350	1
2139	WBGene00001239	elo-1	F56H11.4b.4	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:K8ES54]	IV	9526359	9528350	1
2140	WBGene00001240	elo-2	F11E6.5.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:Q9XVQ9]	IV	17466060	17467408	-1
2141	WBGene00001241	elo-3	D2024.3.1	Putative fatty acid elongation protein 3  [Source:UniProtKB/Swiss-Prot;Acc:P49191]	IV	7237722	7239976	1
2142	WBGene00001242	elo-4	C40H1.4.1	Putative fatty acid elongation protein 4  [Source:UniProtKB/Swiss-Prot;Acc:Q03574]	III	9332269	9334274	-1
2143	WBGene00001243	elo-5	F41H10.7.1	Elongation of very long chain fatty acids protein 5  [Source:UniProtKB/Swiss-Prot;Acc:Q20300]	IV	5374598	5377137	-1
2144	WBGene00001243	elo-5	F41H10.7.2	Elongation of very long chain fatty acids protein 5  [Source:UniProtKB/Swiss-Prot;Acc:Q20300]	IV	5374598	5377137	-1
2145	WBGene00001244	elo-6	F41H10.8.1	Elongation of very long chain fatty acids protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q20303]	IV	5386629	5388559	-1
2146	WBGene00001245	elo-7	F56H11.3.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:Q20904]	IV	9529947	9531378	1
2147	WBGene00001246	elo-8	Y47D3A.30a.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:F3Y5R4]	III	11230378	11232164	-1
2148	WBGene00001246	elo-8	Y47D3A.30a.2	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:F3Y5R4]	III	11230378	11232164	-1
2149	WBGene00001246	elo-8	Y47D3A.30b.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:F3Y5R4]	III	11230378	11232164	-1
2150	WBGene00001247	elo-9	Y53F4B.2.1	Elongation of very long chain fatty acids protein  [Source:UniProtKB/TrEMBL;Acc:Q9NAC6]	II	14959675	14964108	-1
2151	WBGene00001248	elp-1	F38A6.2a.1	Echinoderm microtubule-associated protein-like elp-1  [Source:UniProtKB/Swiss-Prot;Acc:O45487]	V	20764955	20770161	-1
2152	WBGene00001248	elp-1	F38A6.2a.2	Echinoderm microtubule-associated protein-like elp-1  [Source:UniProtKB/Swiss-Prot;Acc:O45487]	V	20764955	20770161	-1
2153	WBGene00001248	elp-1	F38A6.2b.1	Echinoderm microtubule-associated protein-like elp-1  [Source:UniProtKB/Swiss-Prot;Acc:O45487]	V	20764955	20770161	-1
2154	WBGene00001248	elp-1	F38A6.2b.2	Echinoderm microtubule-associated protein-like elp-1  [Source:UniProtKB/Swiss-Prot;Acc:O45487]	V	20764955	20770161	-1
2155	WBGene00001249	elt-1	W09C2.1a.1	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	IV	9614970	9620140	1
2156	WBGene00001249	elt-1	W09C2.1b.1	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	IV	9614970	9620140	1
2157	WBGene00001249	elt-1	W09C2.1c.1	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	IV	9614970	9620140	1
2158	WBGene00001249	elt-1	W09C2.1d.1	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	IV	9614970	9620140	1
2159	WBGene00001249	elt-1	W09C2.1e.1	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	IV	9614970	9620140	1
2160	WBGene00001249	elt-1	W09C2.1f.1	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	IV	9614970	9620140	1
2161	WBGene00001250	elt-2	C33D3.1.1	Transcription factor elt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q10655]	X	10481240	10483446	1
2162	WBGene00001251	elt-3	K02B9.4a.1	Erythroid-Like Transcription factor family  [Source:UniProtKB/TrEMBL;Acc:E5QCG8]	X	13934883	13941247	1
2163	WBGene00001251	elt-3	K02B9.4b.1	Erythroid-Like Transcription factor family  [Source:UniProtKB/TrEMBL;Acc:E5QCG8]	X	13934883	13941247	1
2164	WBGene00001251	elt-3	K02B9.4c.1	Erythroid-Like Transcription factor family  [Source:UniProtKB/TrEMBL;Acc:E5QCG8]	X	13934883	13941247	1
2165	WBGene00001251	elt-3	K02B9.4d.1	Erythroid-Like Transcription factor family  [Source:UniProtKB/TrEMBL;Acc:E5QCG8]	X	13934883	13941247	1
2166	WBGene00001252	elt-4	C39B10.6a.1	Erythroid-Like Transcription factor family  [Source:UniProtKB/TrEMBL;Acc:Q8MQA7]	X	10475527	10475959	1
2167	WBGene00001252	elt-4	C39B10.6b.1	Erythroid-Like Transcription factor family  [Source:UniProtKB/TrEMBL;Acc:Q8MQA7]	X	10475527	10475959	1
2168	WBGene00001253	elt-6	F52C12.5.1	Erythroid-Like Transcription factor family; GATA-like transcription factor ELT-6  [Source:UniProtKB/TrEMBL;Acc:G5EGN3]	IV	1917854	1921644	1
2169	WBGene00001253	elt-6	F52C12.5.2	Erythroid-Like Transcription factor family; GATA-like transcription factor ELT-6  [Source:UniProtKB/TrEMBL;Acc:G5EGN3]	IV	1917854	1921644	1
2170	WBGene00001258	emb-4	Y80D3A.2a.1		V	18860287	18894974	-1
2171	WBGene00001258	emb-4	Y80D3A.2b.1		V	18860287	18894974	-1
2172	WBGene00001258	emb-4	Y80D3A.2c.1		V	18860287	18894974	-1
2173	WBGene00001258	emb-4	Y80D3A.2d.1		V	18860287	18894974	-1
2174	WBGene00001258	emb-4	Y80D3A.2e.1		V	18860287	18894974	-1
2175	WBGene00001259	emb-5	T04A8.14.1	Suppressor of Ty 6 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P34703]	III	4715293	4720670	-1
2176	WBGene00001262	emb-8	K10D2.6.1	NADPH--cytochrome P450 reductase  [Source:UniProtKB/TrEMBL;Acc:Q09590]	III	5196678	5199688	-1
2177	WBGene00001262	emb-8	K10D2.6.2	NADPH--cytochrome P450 reductase  [Source:UniProtKB/TrEMBL;Acc:Q09590]	III	5196678	5199688	-1
2178	WBGene00001263	emb-9	K04H4.1a.1	Collagen alpha-1(IV) chain  [Source:UniProtKB/Swiss-Prot;Acc:P17139]	III	9336881	9344447	-1
2179	WBGene00001263	emb-9	K04H4.1b.1	Collagen alpha-1(IV) chain  [Source:UniProtKB/Swiss-Prot;Acc:P17139]	III	9336881	9344447	-1
2180	WBGene00001281	emb-27	F10B5.6.1	Cell division cycle protein 16 homolog  [Source:UniProtKB/Swiss-Prot;Acc:G5EG38]	II	8159865	8162170	-1
2181	WBGene00001284	emb-30	F54C8.3.1	Abnormal embryogenesis protein 30  [Source:UniProtKB/Swiss-Prot;Acc:P34441]	III	9435083	9441539	-1
2182	WBGene00001284	emb-30	F54C8.3.2	Abnormal embryogenesis protein 30  [Source:UniProtKB/Swiss-Prot;Acc:P34441]	III	9435083	9441539	-1
2183	WBGene00001303	emo-1	F32D8.6.1	Protein transport protein Sec61 subunit gamma  [Source:UniProtKB/Swiss-Prot;Acc:Q19967]	V	10896658	10897143	-1
2184	WBGene00001309	emr-1	M01D7.6.1	Emerin homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:O01971]	I	1842445	1843227	1
2185	WBGene00001309	emr-1	M01D7.6.2	Emerin homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:O01971]	I	1842445	1843227	1
2186	WBGene00001310	end-1	F58E10.2.1	ENDoderm determining; GATA transcription factor END-1  [Source:UniProtKB/TrEMBL;Acc:G5EDN4]	V	13985137	13987072	1
2187	WBGene00001311	end-3	F58E10.5.1	ENDoderm determining  [Source:UniProtKB/TrEMBL;Acc:Q9XUW7]	V	14014701	14015850	1
2188	WBGene00001320	ent-1	ZK809.4a.1	Equilibrative Nucleoside Transporter; Equilibrative nucleoside transporter 1  [Source:UniProtKB/TrEMBL;Acc:G5EDJ3]	IV	11653422	11655470	-1
2189	WBGene00001320	ent-1	ZK809.4c.1	Equilibrative Nucleoside Transporter; Equilibrative nucleoside transporter 1  [Source:UniProtKB/TrEMBL;Acc:G5EDJ3]	IV	11653422	11655470	-1
2190	WBGene00001324	eor-1	R11E3.6a.1	EOR-1  [Source:UniProtKB/TrEMBL;Acc:G5EDU4]	IV	4793202	4799378	-1
2191	WBGene00001324	eor-1	R11E3.6b.1	EOR-1  [Source:UniProtKB/TrEMBL;Acc:G5EDU4]	IV	4793202	4799378	-1
2192	WBGene00001325	eor-2	C44H4.7a.1	EOR-2; EOR-2A  [Source:UniProtKB/TrEMBL;Acc:G5EE70]	X	14603017	14608655	1
2193	WBGene00001325	eor-2	C44H4.7a.2	EOR-2; EOR-2A  [Source:UniProtKB/TrEMBL;Acc:G5EE70]	X	14603017	14608655	1
2194	WBGene00001325	eor-2	C44H4.7b.1	EOR-2; EOR-2A  [Source:UniProtKB/TrEMBL;Acc:G5EE70]	X	14603017	14608655	1
2195	WBGene00001325	eor-2	C44H4.7b.2	EOR-2; EOR-2A  [Source:UniProtKB/TrEMBL;Acc:G5EE70]	X	14603017	14608655	1
2196	WBGene00001325	eor-2	C44H4.7c.1	EOR-2; EOR-2A  [Source:UniProtKB/TrEMBL;Acc:G5EE70]	X	14603017	14608655	1
2197	WBGene00001325	eor-2	C44H4.7d.1	EOR-2; EOR-2A  [Source:UniProtKB/TrEMBL;Acc:G5EE70]	X	14603017	14608655	1
2198	WBGene00001328	epi-1	K08C7.3a.1	Laminin-like protein epi-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21313]	IV	10666827	10679289	1
2199	WBGene00001328	epi-1	K08C7.3b.1	Laminin-like protein epi-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21313]	IV	10666827	10679289	1
2200	WBGene00001328	epi-1	K08C7.3c.1	Laminin-like protein epi-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21313]	IV	10666827	10679289	1
2201	WBGene00001328	epi-1	K08C7.3d.1	Laminin-like protein epi-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21313]	IV	10666827	10679289	1
2202	WBGene00001328	epi-1	K08C7.3e.1	Laminin-like protein epi-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21313]	IV	10666827	10679289	1
2203	WBGene00001328	epi-1	K08C7.3f.1	Laminin-like protein epi-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21313]	IV	10666827	10679289	1
2204	WBGene00001329	epn-1	T04C10.2a.1	EPsiN (Endocytic protein) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9BI72]	X	14815828	14818507	-1
2205	WBGene00001329	epn-1	T04C10.2b.1	EPsiN (Endocytic protein) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9BI72]	X	14815828	14818507	-1
2206	WBGene00001330	eps-8	Y57G11C.24a.1	EPS (Human endocytosis) related  [Source:UniProtKB/TrEMBL;Acc:Q7YTG1]	IV	14879490	14900652	1
2207	WBGene00001330	eps-8	Y57G11C.24a.2	EPS (Human endocytosis) related  [Source:UniProtKB/TrEMBL;Acc:Q7YTG1]	IV	14879490	14900652	1
